city,variant,seed,sparsification_pct,max_stretch,n_repairs,scc_connected,_source_file,n_evals
Paris,A_Base_Threshold_0.40,5,26.678218098485274,1.4561775855137005,4580,True,adaptive_ga_feedback_20260705_013055.csv,
Paris,B1_GA_Threshold(0.38),5,23.978536694427365,1.4561775855137005,4121,True,adaptive_ga_feedback_20260705_013055.csv,48.0
Paris,B2_RandomSearch_Threshold(0.38),5,23.81085461964116,1.4561775855137005,4091,True,adaptive_ga_feedback_20260705_013055.csv,48.0
Paris,C_GA_Threshold_plus_Feedback,5,17.17064445810743,1.4561775855137005,2940,True,adaptive_ga_feedback_20260705_013055.csv,
Paris,D_Random_Pruning(matched_to_C),5,17.17064445810743,1.476442428199906,2957,True,adaptive_ga_feedback_20260705_013055.csv,
Paris,A_Base_Threshold_0.40,6,26.92974121066458,1.4763242484866566,4632,True,adaptive_ga_feedback_20260705_013055.csv,
Paris,B1_GA_Threshold(0.39),6,24.96786093566598,1.4763242484866566,4293,True,adaptive_ga_feedback_20260705_013055.csv,48.0
Paris,B2_RandomSearch_Threshold(0.38),6,24.63808618858644,1.4763242484866566,4236,True,adaptive_ga_feedback_20260705_013055.csv,48.0
Paris,C_GA_Threshold_plus_Feedback,6,17.77988932983064,1.4574907789383846,3040,True,adaptive_ga_feedback_20260705_013055.csv,
Paris,D_Random_Pruning(matched_to_C),6,17.77988932983064,1.4763242484866566,3065,True,adaptive_ga_feedback_20260705_013055.csv,
Paris,A_Base_Threshold_0.40,7,26.873847185735844,1.4973835249183345,4626,True,adaptive_ga_feedback_20260705_013055.csv,
Paris,B1_GA_Threshold(0.39),7,25.252920462802525,1.4973835249183345,4342,True,adaptive_ga_feedback_20260705_013055.csv,48.0
Paris,B2_RandomSearch_Threshold(0.38),7,24.548655748700465,1.4973835249183345,4224,True,adaptive_ga_feedback_20260705_013055.csv,48.0
Paris,C_GA_Threshold_plus_Feedback,7,18.327650774132245,1.4763976421005724,3139,True,adaptive_ga_feedback_20260705_013055.csv,
Paris,D_Random_Pruning(matched_to_C),7,18.327650774132245,1.4878569549354108,3155,True,adaptive_ga_feedback_20260705_013055.csv,
Paris,A_Base_Threshold_0.40,8,26.83472136828573,1.4819338589298805,4614,True,adaptive_ga_feedback_20260705_013055.csv,
Paris,B1_GA_Threshold(0.38),8,24.02884131686323,1.4819338589298805,4131,True,adaptive_ga_feedback_20260705_013055.csv,48.0
Paris,B2_RandomSearch_Threshold(0.39),8,25.750377284668268,1.4819338589298805,4432,True,adaptive_ga_feedback_20260705_013055.csv,48.0
Paris,C_GA_Threshold_plus_Feedback,8,17.131518640657315,1.4819338589298805,2930,True,adaptive_ga_feedback_20260705_013055.csv,
Paris,D_Random_Pruning(matched_to_C),8,17.131518640657315,1.4819338589298805,2955,True,adaptive_ga_feedback_20260705_013055.csv,
Paris,A_Base_Threshold_0.40,9,26.790006148342744,1.4788241039961536,4609,True,adaptive_ga_feedback_20260705_013055.csv,
Paris,B1_GA_Threshold(0.38),9,24.52629813872897,1.4788241039961536,4222,True,adaptive_ga_feedback_20260705_013055.csv,48.0
Paris,B2_RandomSearch_Threshold(0.41),9,28.438879883740427,1.4788241039961536,4891,True,adaptive_ga_feedback_20260705_013055.csv,48.0
Paris,C_GA_Threshold_plus_Feedback,9,17.48924040020122,1.4788241039961536,2994,True,adaptive_ga_feedback_20260705_013055.csv,
Paris,D_Random_Pruning(matched_to_C),9,17.48924040020122,1.280487861392131,3032,True,adaptive_ga_feedback_20260705_013055.csv,
Eindhoven,A_Base_Threshold_0.40,0,14.062253949923887,1.4969664312678423,2035,True,adaptive_ga_feedback_20260705_013511.csv,
Eindhoven,B1_GA_Threshold(0.37),0,11.416723531573146,1.4906850794646482,1612,True,adaptive_ga_feedback_20260705_013511.csv,48.0
Eindhoven,B2_RandomSearch_Threshold(0.41),0,14.60290798383287,1.4969664312678423,2111,True,adaptive_ga_feedback_20260705_013511.csv,48.0
Eindhoven,C_GA_Threshold_plus_Feedback,0,7.149231011495459,1.4906850794646482,961,True,adaptive_ga_feedback_20260705_013511.csv,
Eindhoven,D_Random_Pruning(matched_to_C),0,7.149231011495459,1.2305422924506562,1236,True,adaptive_ga_feedback_20260705_013511.csv,
Eindhoven,A_Base_Threshold_0.40,1,14.1567371791507,1.4904231671579242,2036,True,adaptive_ga_feedback_20260705_013511.csv,
Eindhoven,B1_GA_Threshold(0.37),1,11.30124402918482,1.4904231671579242,1592,True,adaptive_ga_feedback_20260705_013511.csv,48.0
Eindhoven,B2_RandomSearch_Threshold(0.38),1,12.32481234580862,1.4904231671579242,1742,True,adaptive_ga_feedback_20260705_013511.csv,48.0
Eindhoven,C_GA_Threshold_plus_Feedback,1,6.981260826203349,1.4904231671579242,932,True,adaptive_ga_feedback_20260705_013511.csv,
Eindhoven,D_Random_Pruning(matched_to_C),1,6.981260826203349,1.3791431191221264,1192,True,adaptive_ga_feedback_20260705_013511.csv,
Eindhoven,A_Base_Threshold_0.40,2,14.098997427956538,1.4904231671579242,2023,True,adaptive_ga_feedback_20260705_013511.csv,
Eindhoven,B1_GA_Threshold(0.37),2,11.107028502440816,1.4904231671579242,1552,True,adaptive_ga_feedback_20260705_013511.csv,48.0
Eindhoven,B2_RandomSearch_Threshold(0.38),2,12.28806886777597,1.4904231671579242,1733,True,adaptive_ga_feedback_20260705_013511.csv,48.0
Eindhoven,C_GA_Threshold_plus_Feedback,2,6.981260826203349,1.4904231671579242,941,True,adaptive_ga_feedback_20260705_013511.csv,
Eindhoven,D_Random_Pruning(matched_to_C),2,6.981260826203349,1.4287470206979906,1202,True,adaptive_ga_feedback_20260705_013511.csv,
Eindhoven,A_Base_Threshold_0.40,3,14.02551047189124,1.4904231671579244,2009,True,adaptive_ga_feedback_20260705_013511.csv,
Eindhoven,B1_GA_Threshold(0.37),3,11.2330061414099,1.4904231671579244,1587,True,adaptive_ga_feedback_20260705_013511.csv,48.0
