city,variant,seed,sparsification_pct,max_stretch,n_repairs,scc_connected,n_evals
Paris,A_Base_Threshold_0.40,0,26.873847185735844,1.4011910399426097,4619,True,
Paris,B1_GA_Threshold(0.38),0,24.498351126264602,1.4011910399426097,4217,True,48.0
Paris,B2_RandomSearch_Threshold(0.41),0,27.61164831479515,1.4011910399426097,4745,True,48.0
Paris,C_GA_Threshold_plus_Feedback,0,17.483650997708345,1.4462524407730761,2994,True,
Paris,D_Random_Pruning(matched_to_C),0,17.483650997708345,1.4592412852437522,3031,True,
Paris,A_Base_Threshold_0.40,1,27.019171650550554,1.497418924768648,4646,True,
Paris,B1_GA_Threshold(0.38),1,24.369794868928512,1.497418924768648,4193,True,48.0
Paris,B2_RandomSearch_Threshold(0.38),1,24.38097367391426,1.497418924768648,4195,True,48.0
Paris,C_GA_Threshold_plus_Feedback,1,17.416578167793865,1.4694958525086417,2984,True,
Paris,D_Random_Pruning(matched_to_C),1,17.416578167793865,1.4111966969989946,3008,True,
Paris,A_Base_Threshold_0.40,2,26.890615393214468,1.4810327162889787,4625,True,
Paris,B1_GA_Threshold(0.38),2,24.87843049578,1.4810327162889787,4275,True,48.0
Paris,B2_RandomSearch_Threshold(0.38),2,24.52629813872897,1.4810327162889787,4218,True,48.0
Paris,C_GA_Threshold_plus_Feedback,2,17.82460454977363,1.4810327162889787,3047,True,
Paris,D_Random_Pruning(matched_to_C),2,17.82460454977363,1.39789563968876,3088,True,
