city,variant,seed,sparsification_pct,max_stretch,n_repairs,scc_connected,_source_file
Eindhoven,C_GA_Threshold_plus_Feedback,1,14.1567371791507,1.4025608601376518,2636,True,fuzzy_pruning_20260705_030009.csv
Eindhoven,D_Random_Pruning(matched),1,14.1567371791507,1.3791431191221264,2445,True,fuzzy_pruning_20260705_030009.csv
Eindhoven,E_Fuzzy_Pruning,2,14.098997427956538,1.4904231671579242,2201,True,fuzzy_pruning_20260705_030009.csv
Eindhoven,C_GA_Threshold_plus_Feedback,2,14.098997427956538,1.3496632853335615,2623,True,fuzzy_pruning_20260705_030009.csv
Eindhoven,D_Random_Pruning(matched),2,14.098997427956538,1.4312994936611625,2432,True,fuzzy_pruning_20260705_030009.csv
Eindhoven,E_Fuzzy_Pruning,3,14.02551047189124,1.4601620029043605,2173,True,fuzzy_pruning_20260705_030009.csv
Eindhoven,C_GA_Threshold_plus_Feedback,3,14.02551047189124,1.2833960409959555,2611,True,fuzzy_pruning_20260705_030009.csv
Eindhoven,D_Random_Pruning(matched),3,14.02551047189124,1.3935882109434623,2425,True,fuzzy_pruning_20260705_030009.csv
Eindhoven,E_Fuzzy_Pruning,4,14.109495564537294,1.4904231671579242,2146,True,fuzzy_pruning_20260705_030009.csv
Eindhoven,C_GA_Threshold_plus_Feedback,4,14.109495564537294,1.0613682696768785,2625,True,fuzzy_pruning_20260705_030009.csv
Eindhoven,D_Random_Pruning(matched),4,14.109495564537294,1.4886874543404185,2450,True,fuzzy_pruning_20260705_030009.csv
Eindhoven,E_Fuzzy_Pruning,5,14.198729725473727,1.478085175918126,2230,True,fuzzy_pruning_20260705_030009.csv
Eindhoven,C_GA_Threshold_plus_Feedback,5,14.198729725473727,1.0836210871104024,2642,True,fuzzy_pruning_20260705_030009.csv
Eindhoven,D_Random_Pruning(matched),5,14.198729725473727,1.4312994936611625,2460,True,fuzzy_pruning_20260705_030009.csv
Eindhoven,E_Fuzzy_Pruning,6,13.962521652406698,1.494855397988336,2185,True,fuzzy_pruning_20260705_030009.csv
Eindhoven,C_GA_Threshold_plus_Feedback,6,13.962521652406698,1.1161332713301506,2603,True,fuzzy_pruning_20260705_030009.csv
Eindhoven,D_Random_Pruning(matched),6,13.962521652406698,1.485209697156156,2413,True,fuzzy_pruning_20260705_030009.csv
Eindhoven,E_Fuzzy_Pruning,7,14.177733452312214,1.4886874543404185,2191,True,fuzzy_pruning_20260705_030009.csv
Eindhoven,C_GA_Threshold_plus_Feedback,7,14.177733452312214,1.41540776134486,2640,True,fuzzy_pruning_20260705_030009.csv
Eindhoven,D_Random_Pruning(matched),7,14.177733452312214,1.3805222235929897,2449,True,fuzzy_pruning_20260705_030009.csv
Eindhoven,E_Fuzzy_Pruning,8,14.16198624744108,1.485209697156156,2194,True,fuzzy_pruning_20260705_030009.csv
Eindhoven,C_GA_Threshold_plus_Feedback,8,14.16198624744108,1.2110636701542457,2635,True,fuzzy_pruning_20260705_030009.csv
Eindhoven,D_Random_Pruning(matched),8,14.16198624744108,1.413880383592206,2461,True,fuzzy_pruning_20260705_030009.csv
Eindhoven,E_Fuzzy_Pruning,9,14.046506745052753,1.465900397878726,2174,True,fuzzy_pruning_20260705_030009.csv
Eindhoven,C_GA_Threshold_plus_Feedback,9,14.046506745052753,1.0842816624516456,2617,True,fuzzy_pruning_20260705_030009.csv
Eindhoven,D_Random_Pruning(matched),9,14.046506745052753,1.465900397878726,2403,True,fuzzy_pruning_20260705_030009.csv
Rome,E_Fuzzy_Pruning,0,17.303482362499718,1.4941393032354373,13853,True,fuzzy_pruning_20260705_145249.csv
Rome,C_GA_Threshold_plus_Feedback,0,17.303482362499718,1.3938402481887195,14958,True,fuzzy_pruning_20260705_145249.csv
Rome,D_Random_Pruning(matched),0,17.303482362499718,1.405825401251254,14427,True,fuzzy_pruning_20260705_145249.csv
Rome,E_Fuzzy_Pruning,1,17.36216118621499,1.4863531791922284,13927,True,fuzzy_pruning_20260705_145249.csv
Rome,C_GA_Threshold_plus_Feedback,1,17.36216118621499,1.4701844385386116,14997,True,fuzzy_pruning_20260705_145249.csv
Rome,D_Random_Pruning(matched),1,17.36216118621499,1.491062436684775,14485,True,fuzzy_pruning_20260705_145249.csv
Rome,E_Fuzzy_Pruning,2,17.294454851158907,1.4678042742357635,13860,True,fuzzy_pruning_20260705_145249.csv
Rome,C_GA_Threshold_plus_Feedback,2,17.294454851158907,1.2428536173456328,14941,True,fuzzy_pruning_20260705_145249.csv
Rome,D_Random_Pruning(matched),2,17.294454851158907,1.4905942814653192,14364,True,fuzzy_pruning_20260705_145249.csv
Rome,E_Fuzzy_Pruning,3,17.36216118621499,1.4712940692135106,13961,True,fuzzy_pruning_20260705_145249.csv
Rome,C_GA_Threshold_plus_Feedback,3,17.36216118621499,1.449420773517546,14998,True,fuzzy_pruning_20260705_145249.csv
Rome,D_Random_Pruning(matched),3,17.36216118621499,1.454549433078726,14486,True,fuzzy_pruning_20260705_145249.csv
Rome,E_Fuzzy_Pruning,4,17.298968606829312,1.4759726576424068,13877,True,fuzzy_pruning_20260705_145249.csv
Rome,C_GA_Threshold_plus_Feedback,4,17.298968606829312,1.4217645262438456,14945,True,fuzzy_pruning_20260705_145249.csv
Rome,D_Random_Pruning(matched),4,17.298968606829312,1.3891493950107408,14417,True,fuzzy_pruning_20260705_145249.csv
Rome,E_Fuzzy_Pruning,0,17.303482362499718,1.4941393032354373,13853,True,fuzzy_pruning_20260705_145812.csv
Rome,C_GA_Threshold_plus_Feedback,0,17.303482362499718,1.3938402481887195,14958,True,fuzzy_pruning_20260705_145812.csv
Rome,D_Random_Pruning(matched),0,17.303482362499718,1.405825401251254,14427,True,fuzzy_pruning_20260705_145812.csv
Rome,E_Fuzzy_Pruning,1,17.36216118621499,1.4863531791922284,13927,True,fuzzy_pruning_20260705_145812.csv
Rome,C_GA_Threshold_plus_Feedback,1,17.36216118621499,1.4701844385386116,14997,True,fuzzy_pruning_20260705_145812.csv
Rome,D_Random_Pruning(matched),1,17.36216118621499,1.491062436684775,14485,True,fuzzy_pruning_20260705_145812.csv
Rome,E_Fuzzy_Pruning,2,17.294454851158907,1.4678042742357635,13860,True,fuzzy_pruning_20260705_145812.csv
Rome,C_GA_Threshold_plus_Feedback,2,17.294454851158907,1.2428536173456328,14941,True,fuzzy_pruning_20260705_145812.csv
Rome,D_Random_Pruning(matched),2,17.294454851158907,1.4905942814653192,14364,True,fuzzy_pruning_20260705_145812.csv
