fold,auc,f1,precision,recall,n_train,n_test
1,0.7260221889253622,0.8780274929085752,0.9345719973457199,0.8279348656751514,76097,19025
2,0.713478710574389,0.8628381585192216,0.9342880635877758,0.8015401798836047,76097,19025
3,0.7023872487405727,0.8756265371563774,0.9307081403044342,0.826700370348598,76098,19024
4,0.713265387437847,0.8779790572662586,0.9311276609767349,0.830570252792475,76098,19024
5,0.727068530282146,0.8748160901549539,0.9355875460328088,0.8214579659024104,76098,19024
