node_u,node_v,length
1281560587,10869250779,87.12763209485345
1281560587,10869274442,81.01840456187682
1281560587,10869274436,16.057373743449855
42577933,42578109,81.00512128558954
42577933,42577868,70.82472928083622
42594321,42593257,75.39617904131353
42594321,42595344,64.35374258069086
42569745,42569170,26.75689806242702
42569745,42570204,14.892945059902726
42569745,42570024,103.08743439681876
42590225,42588627,70.48951731116082
42590225,1266405747,269.1656585536676
42598421,42597601,32.89976696583199
42598421,42598465,11.63155545495603
42598421,42597749,53.83116312320645
1281560603,42571874,17.053428999679003
1281560603,10869250735,14.175656987670964
1281560603,10869250778,63.1061516970049
42606640,42607013,54.3516105353762
42606640,42606289,60.00181949280078
42598456,42596106,96.81101771265686
42598456,42598778,43.07328624157695
42598456,42598339,12.082917872739266
42594361,42593119,55.76598691266061
42594361,42594505,17.302932020583224
42594361,42594026,45.43328224271058
42582080,42582276,65.31393464503468
42582080,42583485,65.77500703997565
42598465,42598868,54.60826905963616
12703008836,42579837,10.372096121166944
12703008836,42579773,35.850509187768544
42594373,42593366,49.09532637557746
42594373,42593667,79.8293151701512
42594373,42595312,93.03450399967844
42594373,1610202887,49.71521878557666
42561616,42561497,78.1838497733189
42561616,59935243,9.779076891557196
42571874,42570489,39.407381266327896
42571874,10869250735,5.158768120994893
42604648,6359350873,98.59226189184496
42604648,42604720,97.71140119163888
42584171,9981501860,80.67425676481639
42584171,42583485,71.97442996458949
42569836,42570007,58.362670802038856
42569836,42569901,65.69662744284295
42575981,42575506,27.329697417169147
42575981,42576704,80.92709662139964
42575981,5229033741,69.66262433459664
6817370222,42571185,29.56157025216013
6817370222,6817370223,4.910546421421504
6817370222,1281560561,96.67942474427332
6817370223,42571185,29.30730159805252
6817370223,29654546,98.37546161806996
6817370223,42570703,108.01843737239216
42580085,42578629,69.10697531328142
42580085,42579773,50.50131801754118
3270197374,42563995,47.03096895987095
3270197374,3270197376,17.488293799507105
3270197376,59936222,46.95599069204562
3270197377,2806088916,40.85342798716624
3270197377,3270197378,18.29386862365674
3270197378,3270197379,51.294932681479295
3270197379,3270197380,18.047508019210017
3270197380,42570490,27.7535378445266
42600586,42601267,52.83371374272853
42600586,42599377,78.97354787507517
42600587,42602071,60.00038037693193
42600587,42600920,62.46455547755309
42578068,42578108,17.274050238894496
42578068,42577757,55.49700361835343
42573978,42573708,51.33363181835863
42573978,42574317,70.43302750180203
42573978,42575504,64.81043659971388
42563741,12181021376,79.59745565854838
42563741,12181039819,14.522551563753067
42563741,42563995,69.77419191922726
42600606,42600258,63.5139423539766
42600606,42602314,93.79011084183136
42573984,440776452,8.1550479384676
42573984,42573171,30.56370558323823
42576033,42575154,49.90506124396322
42576033,42577117,70.53559498182912
42569901,42569918,30.159360929869383
42604720,42605383,126.3039896545818
42586295,42584055,86.31368714427765
42586295,42586558,55.81992709633297
42578108,42578378,39.17633931749882
42578109,42578351,69.72717138028474
42578109,35202589,112.8289622349674
