node_u,node_v,length,u_degree,v_degree,dx,dy,edge_centrality,u_pagerank,v_pagerank,is_spanner_edge,predicted
5686022,4111883535,10.779154574176289,4,3,10.357061183545738,3.1003989977762103,1.0187488350231757,0.0001556022006364,4.735663392671858e-05,1,1
5686022,251302843,10.558667494692102,4,4,2.0691552736097947,-10.360276683233678,1.384242604724759,0.0001556022006364,0.0002333232985444,1,1
4111883535,25294729,40.62599579974121,3,5,21.85547058668453,31.230142161250114,0.3603517396235661,4.735663392671858e-05,0.0001715007057004,0,1
251302843,42641873,123.14746441763886,4,5,-107.1616216407856,-48.44525787886232,0.1610987392599409,0.0002333232985444,0.0002172260929487,1,1
25243566,1025523148,53.74323254089353,3,2,39.271809511468746,-36.62869840860367,0.1096025886947389,0.0001616905297251,8.686286252384125e-05,1,1
25243566,42619187,112.90114564790396,3,3,-62.31221222272143,94.28996185865252,0.0790158865286674,0.0001616905297251,0.0001972797712683,1,1
1025523148,42615890,78.73578237623607,2,5,57.034299175371416,-54.44943547435105,0.1254142080504666,8.686286252384125e-05,0.0001592356295845,1,1
25243590,438088752,13.682185940660416,4,3,-13.22469722351525,-3.66503862850368,0.817316988662264,6.39840654281329e-05,0.0001557382047389,1,1
25243590,25294729,37.94480630678218,4,5,36.98112258629408,8.967168430797756,0.5135472967166107,6.39840654281329e-05,0.0001715007057004,1,1
438088752,5228501171,34.40680546607196,3,3,7.210013687959872,32.54833633732051,0.2541884217322038,0.0001557382047389,9.580959581846954e-05,0,1
25274154,55544395,43.12673375508203,1,3,-8.438445750973187,42.31834728363901,0.0679859972562436,4.666972713719671e-05,0.0001441710448485,1,1
55544395,42590864,42.18155226170269,3,3,-40.962763606221415,-10.202569200657308,0.2084223361275971,0.0001441710448485,0.0001257981451686,1,1
25285582,3860861522,8.323046581807555,4,4,-1.4137735308613628,-8.207345173694193,1.7161772023344235,5.733434087619341e-05,8.230835763665012e-05,1,1
25285582,42551507,10.201131692566827,4,4,7.925409449613653,-6.455068684183061,1.428427094613819,5.733434087619341e-05,7.006372741442897e-05,0,1
3860861522,42551507,9.47299338466583,4,4,9.339182980475016,1.7522764895111322,1.5277389579398195,8.230835763665012e-05,7.006372741442897e-05,1,1
3860861522,5229088004,18.79402670708849,4,3,-18.71704662439879,2.160173814743757,0.6062434984844518,8.230835763665012e-05,7.359814502012752e-05,1,1
5229088005,5229088004,8.489406599549119,4,3,-1.1211626577423883,-8.420061486773193,1.2645680079268782,9.393320943534972e-05,7.359814502012752e-05,1,1
42647004,42648022,31.71086757892185,3,3,0.7755839307792485,31.718157303519547,0.275137917949917,8.572575221675499e-05,0.0001686870332851,1,1
25348051,42633988,28.77129214215198,3,4,23.475065729231574,-15.10148858372122,0.4030728643789592,0.000177769106705,0.0001603060157639,1,1
25348051,42633032,63.265774627783536,3,3,38.45171765203122,-48.98021312896162,0.1400434376170904,0.000177769106705,0.0001257511356041,0,1
42633988,7459356407,16.633628409091763,4,3,16.66659336874727,0.6643191426992416,0.6805179127973964,0.0001603060157639,0.0001858506913888,1,1
42633988,6109162800,19.122493506487057,4,3,7.180543603259139,-17.712302126921713,0.596347564785222,0.0001603060157639,4.180266638859316e-05,1,1
42633032,6109162800,17.934123353633645,3,3,-7.796108319540508,16.16642241831869,0.4753322787597035,0.0001257511356041,4.180266638859316e-05,1,1
25547625,42645904,20.873471429451087,3,3,-13.626064133713951,-15.76976227387786,0.4114573230421091,3.690408069279611e-05,0.0001593450043178,1,1
25547625,54744359,13.291473025919542,3,3,-0.1394172725267708,13.297711352817714,0.6297461418901514,3.690408069279611e-05,0.0001411359933457,1,1
25547625,1127721795,21.025194319134517,3,3,18.00484937056899,-10.90874867234379,0.4086229555841511,3.690408069279611e-05,0.0001355782459638,1,1
