node_u,node_v,length,u_degree,v_degree,dx,dy,edge_centrality,u_pagerank,v_pagerank,is_spanner_edge,city
55544395,42591286,108.8585839598345,3,3,107.01106017339043,21.709751951508224,0.08192350270317063,0.00014417104484853131,0.00015341413195862314,1,Eindhoven
55544395,42590864,42.181552261702684,3,3,-40.962763606221415,-10.202569200657308,0.20842233612759714,0.00014417104484853131,0.0001257981451686096,1,Eindhoven
25285582,3860861522,8.323046581807555,4,4,-1.4137735308613628,-8.207345173694193,1.7161772023344235,5.733434087619341e-05,8.230835763665012e-05,1,Eindhoven
25285582,5229088005,19.099244208939893,4,4,-19.009657497517765,2.3728901278227568,0.7960498332013598,5.733434087619341e-05,9.393320943534972e-05,1,Eindhoven
25285582,42551507,10.201131692566829,4,4,7.925409449613653,-6.455068684183061,1.4284270946138187,5.733434087619341e-05,7.006372741442897e-05,1,Eindhoven
25285582,42552798,36.49042178283533,4,3,9.03879116580356,35.08125978522003,0.32008175500159614,5.733434087619341e-05,8.792318313321135e-05,1,Eindhoven
3860861522,42551507,9.47299338466583,4,4,9.339182980475016,1.7522764895111322,1.5277389579398195,8.230835763665012e-05,7.006372741442897e-05,1,Eindhoven
3860861522,42549994,175.33855559427099,4,4,-26.073971039964817,-173.47839692793787,0.09073455289502111,8.230835763665012e-05,0.00012120962053228698,0,Eindhoven
3860861522,5229088004,18.79402670708849,4,3,-18.71704662439879,2.1601738147437572,0.6062434984844518,8.230835763665012e-05,7.359814502012752e-05,1,Eindhoven
5229088005,5229088004,8.489406599549119,4,3,-1.1211626577423885,-8.420061486773193,1.2645680079268782,9.393320943534972e-05,7.359814502012752e-05,1,Eindhoven
5229088005,8124896141,30.887963174816928,4,3,-24.242152979946695,16.477629599161446,0.3763175444669615,9.393320943534972e-05,0.00016289748710504546,1,Eindhoven
5229088005,11819688864,41.72345559240148,4,3,6.0504566840827465,41.30276730004698,0.2808761565189086,9.393320943534972e-05,0.0001495145251705398,1,Eindhoven
25294729,42647004,118.65759887261179,5,3,-12.210089692962356,117.90484660398215,0.12535768844876363,0.00017150070570043274,8.572575221675499e-05,1,Eindhoven
25294729,42643555,24.217093826247172,5,5,5.653822353226133,-23.563416614197195,0.9913910053338022,0.00017150070570043274,7.626543093671909e-05,1,Eindhoven
25294729,3601981728,230.39180972499693,5,3,229.74536561220884,23.24061381071806,0.06482511208079104,0.00017150070570043274,0.00021967511519264618,0,Eindhoven
42647004,42648022,31.71086757892185,3,3,0.7755839307792485,31.718157303519547,0.275137917949917,8.572575221675499e-05,0.00016868703328515888,1,Eindhoven
42647004,42647003,40.95348543211141,3,4,-41.01866153697483,-2.2801854386925697,0.2860310621728496,8.572575221675499e-05,0.00013739658351314383,1,Eindhoven
25348051,42633988,28.77129214215198,3,4,23.475065729231574,-15.10148858372122,0.40307286437895923,0.00017776910670508003,0.0001603060157639761,1,Eindhoven
25348051,42633032,63.265774627783536,3,3,38.45171765203122,-48.98021312896162,0.14004343761709045,0.00017776910670508003,0.00012575113560415533,0,Eindhoven
25348051,42640361,269.7240304559026,3,4,-92.4448714008322,252.0761441513896,0.04432558121933931,0.00017776910670508003,0.00020126634424832537,0,Eindhoven
42633988,7459356407,16.633628409091763,4,3,16.66659336874727,0.6643191426992416,0.6805179127973964,0.0001603060157639761,0.0001858506913888443,1,Eindhoven
42633988,42639444,247.6451846236091,4,3,-90.72854978055693,227.62198720220476,0.04826154191630618,0.0001603060157639761,0.0001833589843214699,1,Eindhoven
42633988,6109162800,19.122493506487057,4,3,7.180543603259139,-17.712302126921713,0.596347564785222,0.0001603060157639761,4.1802666388593155e-05,1,Eindhoven
42633032,6109162800,17.934123353633645,3,3,-7.796108319540508,16.16642241831869,0.4753322787597035,0.00012575113560415533,4.1802666388593155e-05,1,Eindhoven
42633032,42629866,196.3604186421724,3,3,148.2439834192628,-125.55430553294718,0.045601848951879256,0.00012575113560415533,0.000261065152614624,1,Eindhoven
25547625,42645904,20.873471429451087,3,3,-13.626064133713953,-15.76976227387786,0.41145732304210914,3.690408069279611e-05,0.0001593450043178656,1,Eindhoven
25547625,54744359,13.291473025919542,3,3,-0.13941727252677083,13.297711352817714,0.6297461418901514,3.690408069279611e-05,0.00014113599334576824,1,Eindhoven
25547625,1127721795,21.025194319134513,3,3,18.00484937056899,-10.90874867234379,0.4086229555841511,3.690408069279611e-05,0.0001355782459638429,1,Eindhoven
42645904,3601981728,468.1425245662992,3,3,-464.0900327194249,-71.693289632909,0.019183935645825517,0.0001593450043178656,0.00021967511519264618,1,Eindhoven
42645904,1127721795,31.903175467096663,3,3,31.630913504282944,4.861013601534069,0.27352983024389377,0.0001593450043178656,0.0001355782459638429,0,Eindhoven
54744359,12857415942,13.825948536111751,3,2,-2.4180853405268863,13.620925957337022,0.4046958604628718,0.00014113599334576824,4.167686387947842e-05,1,Eindhoven
54744359,25654437,195.59735476452087,3,3,-192.36080947774462,-36.68598469160497,0.04577884585873478,0.00014113599334576824,0.00024401825234355716,1,Eindhoven
25547636,54744450,32.43622856516966,2,2,-1.3028517437633127,32.426986581645906,0.11963071708891172,8.773265966630103e-05,9.844110027137814e-05,1,Eindhoven
25547636,54744418,69.18738884041022,2,3,69.3740575260017,2.011128982529044,0.08548544260055896,8.773265966630103e-05,0.00014623204705854474,1,Eindhoven
54744450,54744421,69.43471544578493,2,3,69.6033462890191,2.620038267225027,0.08518526641338284,9.844110027137814e-05,0.0001578293318697704,1,Eindhoven
54744418,54744421,33.036094993266374,3,3,-1.073562980745919,33.03589586634189,0.26442516398489724,0.00014623204705854474,0.0001578293318697704,1,Eindhoven
54744418,25654437,91.46519965505789,3,3,77.17286581092048,-7.229384740814567,0.09733391625794965,0.00014623204705854474,0.00024401825234355716,1,Eindhoven
25598084,42641934,89.156569125428,3,1,-22.32538273825776,-80.03791009355336,0.033275445473377845,0.00017244255172383562,3.231128744732885e-05,1,Eindhoven
25598084,42646869,778.6489985123326,3,4,762.3526867819019,136.84434006363153,0.01539154160769461,0.00017244255172383562,0.000296482713163953,0,Eindhoven
25598084,54744495,109.22415648006276,3,4,-107.91609367751516,-7.224618679843843,0.1088690572303953,0.00017244255172383562,0.00020792659177382004,1,Eindhoven
42646869,42647302,64.17271208145829,4,4,61.43551042152103,19.182663295418024,0.24550152186396457,0.000296482713163953,0.00010703115475802725,1,Eindhoven
42646869,54744495,879.7949834371595,4,4,-870.268780459417,-144.06895874347538,0.0181654077292341,0.000296482713163953,0.00020792659177382004,0,Eindhoven
42646869,42647637,36.90627436717974,4,3,-0.14245703164488077,29.472172907553613,0.3165702828972799,0.000296482713163953,0.00013237077454324511,1,Eindhoven
25654405,42658125,10.597765722641201,3,4,-8.226334628649056,6.71169937774539,1.0346820488513193,0.00018574940586579884,0.0002536301650577616,1,Eindhoven
25654405,42655223,170.0405620300367,3,3,129.41222347377334,-109.0189585564658,0.052619097442041234,0.00018574940586579884,0.00011619752260131765,1,Eindhoven
25654405,9858665090,276.29263332726947,3,3,180.72141215018928,-176.77251734677702,0.03245668625238204,0.00018574940586579884,0.0001705102342259087,0,Eindhoven
42658125,2742698869,30.862962734265757,4,3,-25.18235694989562,17.95855223480612,0.37661281218821113,0.0002536301650577616,5.170715018189155e-05,1,Eindhoven
42658125,42665088,290.7634771363687,4,4,107.8445988240419,269.862674344331,0.054838940627656714,0.0002536301650577616,0.00014067644566394244,0,Eindhoven
